scope:  Object Object 3.6400549446402595 -3.5000000000000004 -1 0
pointManipulation.jsx:133 scope while:  3.0700549446402596 0.57 0 1
pointManipulation.jsx:133 scope while:  2.50005494464026 1.14 0 2
pointManipulation.jsx:133 scope while:  1.93005494464026 1.71 0 3
pointManipulation.jsx:133 scope while:  1.36005494464026 2.28 0 4
pointManipulation.jsx:133 scope while:  0.7900549446402602 2.8499999999999996 0 5
pointManipulation.jsx:133 scope while:  0.2200549446402602 3.4199999999999995 0 6
pointManipulation.jsx:107 scope:  Object Object 7.810249675906654 -0.3999999999999999 -7.8 0.2200549446402602
pointManipulation.jsx:133 scope while:  7.460304620546914 4.21005494464026 0 7
pointManipulation.jsx:133 scope while:  6.890304620546914 4.78005494464026 0 8
pointManipulation.jsx:133 scope while:  6.3203046205469136 5.35005494464026 0 9
pointManipulation.jsx:133 scope while:  5.750304620546913 5.920054944640261 0 10
pointManipulation.jsx:133 scope while:  5.180304620546913 6.490054944640261 0 11
pointManipulation.jsx:133 scope while:  4.610304620546913 7.060054944640261 0 12
pointManipulation.jsx:133 scope while:  4.040304620546912 7.6300549446402615 0 13
pointManipulation.jsx:133 scope while:  3.4703046205469126 8.20005494464026 0 14
pointManipulation.jsx:133 scope while:  2.9003046205469127 8.770054944640261 0 15
pointManipulation.jsx:133 scope while:  2.330304620546913 9.340054944640261 0 16
pointManipulation.jsx:133 scope while:  1.760304620546913 9.910054944640262 0 17
pointManipulation.jsx:133 scope while:  1.1903046205469132 10.480054944640262 0 18
pointManipulation.jsx:133 scope while:  0.6203046205469133 11.050054944640262 0 19
pointManipulation.jsx:133 scope while:  0.050304620546913315 11.620054944640263 0 20
pointManipulation.jsx:107 scope:  Object Object 3.0066592756745814 -3 -0.2 0.050304620546913315
pointManipulation.jsx:133 scope while:  2.4869638962214946 12.240359565187175 0 21
pointManipulation.jsx:133 scope while:  1.9169638962214948 12.810359565187175 0 22
pointManipulation.jsx:133 scope while:  1.346963896221495 13.380359565187176 0 23
pointManipulation.jsx:133 scope while:  0.776963896221495 13.950359565187176 0 24
pointManipulation.jsx:133 scope while:  0.20696389622149503 14.520359565187176 0 25
